kaynak,question,answer,sayfa
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Karnından vurulmuş, bilinci kapalı (yutamayan) hastaya enfeksiyona karşı hangi antibiyotiği yapmalıyım?",İntravenöz (IV) veya intramusküler (IM) olarak 1 gram ertapenem (Invanz) veya 12 saatte bir 2 gram Sefotetan uygulayın.,87/111
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Bacağa taktığım turnikeyi güvenli bir şekilde sargıya dönüştürmek için ne kadar sürem var? Maksimum sınır nedir?,"Uygulamadan sonraki 2 saat içinde dönüştürmek güvenlidir. 6 saatten fazla bir süre geçtiyse saha dönüşümü kesinlikle önerilmez, dikkat gerektirir.",110
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Damar yolu (IV) açamıyorum, kemik içi (IO) sıvıyı göğsün neresinden, hangi kemikten vermeliyim?","Sternal çentiğin (ksifoid çıkıntı değil) yaklaşık 1 ile 2 cm altından, sternumun manubrium kemiği orta hattından uygulanmalıdır.",31/33
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Yanık vakasında sağ kol ve sağ bacak tamamen yanmış. Toplam yanık yüzdesini nasıl hesaplarım?,"'Dokuzlar Kuralı' kullanılır. Bir kol %9, bir bacak %18 olduğu için toplam yanık yüzey alanı %27 olarak hesaplanır.",89
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Şiddetli yanığı olan bir askere ne zaman ve hangi IV sıvı ile resüsitasyona başlamalıyım?,"Toplam vücut yüzey alanının %20'sini aşan yanıklarda mümkün olan en kısa sürede Laktatlı Ringer (LR), serum fizyolojik (NS) veya Hextend solüsyonu ile başlanmalıdır.",89
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Çatışmada vurulan ama bilinci açık, yutkunan birine hap paketinden (CWPP) hangi antibiyotiği içirmeliyim?",400 mg moksifloksasin hap içirilmelidir.,87
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Hipotermiyi engellemek için hazır ısıtıcı battaniyeyi (HPMK) doğrudan yaralının çıplak tenine serebilir miyim?,"Hayır, doğrudan cilde yerleştirmeyin; bu durum ciddi termal yanıklara sebep olabilir.",40
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Şiddetli kanaması olan birine kan kaybını yavaşlatmak için TXA (Traneksamik Asit) ne dozda ve ne zaman yapılmalıdır?,"1 gram TXA, 100 ml serum fizyolojik veya Laktatlı Ringer içerisinde kanamadan sonraki ilk 3 saat içinde en kısa zamanda damar yolundan (IV) uygulanmalıdır.",85/112
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,El yapımı patlayıcı (EYP) sonucu alt bacaklarını kaybeden bir yaralıyı taşırken hangi özel ateli mutlaka takmalıyım?,Enerji vücutta yukarı hareket edip iç bütünlüğü bozacağı için mutlaka pelvik atel (kalça sabitleyici) uygulanmalıdır.,88
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Burun tüpünü (NPA) kayganlaştırmak için yanımda vazelin (petrol bazlı) var, kullanabilir miyim?",Kesinlikle kullanamazsınız. Petrol bazlı yağlayıcılar dokulara zarar verip enfeksiyon riskini artırır; sadece su bazlı yağlayıcı kullanılmalıdır.,8
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Helikopter (MEDEVAC) çağırırken yaralının detaylı durumunu bildirmek için 9 Hatlı Rapor'a hangi rapor formatını eklemeliyim?,"MIST (Yaralanma mekanizması, Yaralanmalar, Belirtiler/Semptomlar ve Tedavi) raporu formatını eklemelisiniz.",95/108
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Nefes alamayan birine boğazdan acil hava yolu (krikotiroidotomi) açarken deriye ve altındaki zara hangi yönlerde kesi atmalıyım?,"Önce deriye 3.5 - 4 cm dikey bir kesi açılmalı, ardından larenksi sabitleyerek krikotiroid zarına 1 - 1.5 cm enine (yatay) kesi yapılmalıdır.",12-13
askeri_egitim_kitabi.pdf,"Yeni bir silah teslim aldım, sahada güvenli ve en üst düzeyde verimle kullanabilmek için ilk olarak nelerini kontrol etmeliyim?","Silahın karakteristik özelliklerini, varsa kronik kusurlarını ve sökülüp takılma/çalışma prensiplerini eksiksiz bilmeniz gerekir.",5
askeri_egitim_kitabi.pdf,Çatışma dışı anlarda veya silahı devriye arkadaşıma teslim ederken uygulamam gereken standart emniyet prosedürü nedir?,"Bir yerden silah alırken, birisine verirken veya silahı boş bırakırken mutlaka namlu ölü noktaya çevrilerek mekanizma kontrol edilmeli ve emniyet önlemi alınmalıdır.",5
askeri_egitim_kitabi.pdf,"Atış sırasında mermim patlamadı. Sorunun kapsülde mi yoksa barutta mı olduğunu anlamak için mermiyi inceleyeceğim, hangi ana bölümleri kontrol etmeliyim?","Küçük çaplı mermiler; mermi çekirdeği, sevk barutu ve mermi kovanı olmak üzere üç ana bölümden oluşur. Arızayı bu bileşenlerde aramalısınız.",6
askeri_egitim_kitabi.pdf,Gece operasyonundayız. Hedefi işaretlemek ve takımın atışlarını tek noktada toplamak için yeşil uçlu mermi kullanacağım. Bu merminin menzili ve çalışma mantığı nedir?,İzli mermidir. Atıldığı zaman barutun harareti ile tutuşarak kırmızı bir ışık verir ve 800 metreye kadar hedefin yerini gösterir. Gece baskınlarında hedef belirtmek için uygundur.,6
askeri_egitim_kitabi.pdf,"Karşımda hafif zırhlı/sert bir hedef var, elimde siyah ve kırmızı uçlu mühimmat bulunuyor. Bu mermiyi nasıl bir etki için kullanmalıyım ve kaç metrede patlar?",Bu mühimmat delici ve yakıcı mermidir. Her iki özelliği de taşır ve 200 metrelik mesafedeki hedefe çarpması halinde patlayarak tahribat yaratır.,7
askeri_egitim_kitabi.pdf,Düşmandan ele geçirilen farklı tipteki tabancaların atış modlarını hızlıca kavramak istiyorum. Çalışma mekanizmalarına göre bunları nasıl sınıflandırabilirim?,"Tabancaları mekanizmalarına göre yarı otomatik, tam otomatik ve toplu tabancalar olmak üzere üç çeşide ayırarak değerlendirebilirsiniz.",8
askeri_egitim_kitabi.pdf,Çatışma esnasında tabancamın mekanizması geride kilitlendi ve ileri gitmiyor. Bu bir silah arızası mıdır yoksa sistem uyarısı mı?,"Bu bir arıza değildir. Tabancalardaki 'Muhbir-i Sadık' isimli parça, şarjörde mermi bittiği zaman mekanizmayı geride tutarak atıcıya şarjörün boşaldığını bildirir. Şarjör değiştirmeniz gerekir.",8
askeri_egitim_kitabi.pdf,"Hedef tahmini 40-50 metre ileride, elimde Makarof tabanca var. Bu mesafeden atış yaparsam etkili/öldürücü bir vuruş yapabilir miyim?",Makarof tabancasının tesirli menzili 50 metre olsa da öldürücü menzili 20 metredir. 40-50 metreden yapılan atışlar öldürücü olmaktan ziyade tesirli (yaralayıcı/baskılayıcı) olacaktır.,9
askeri_egitim_kitabi.pdf,Acil durum! TT (veya Makarof) tabancam ateş ettikten sonra boş kovanı fırlatmıyor ve mekanizma sıkışıyor. Hızlıca hangi parçalara müdahale etmeliyim?,"Kovan tutan pimin kırık olup olmadığını kontrol edin. Ayrıca kovan, patlama odasına (hazneye) yapışmış olabilir; yatağı temizlemeniz gerekebilir.",11
askeri_egitim_kitabi.pdf,Sahada Ghost TR 01 model bir tabanca buldum ve acil mermi basmam gerekiyor. Kalibresi ve şarjör kapasitesi tam olarak nedir?,Bu tabanca 9x19 mm kalibre mermi kullanır ve şarjör kapasitesi tam dolu halde 15+1 mermidir.,15
askeri_egitim_kitabi.pdf,"Meskun mahal operasyonundayız, elimde MP-5 makineli tabanca var. Sokaktaki dış hedeflere ateş açmam gerekirse maksimum hangi mesafeye kadar isabet sağlayabilirim?",Standart MP-5 ile maksimum etkili menziliniz 100 metredir. Eğer elinizdeki model kısaltılmış MP-5K ise bu menzil 50 metreye düşer.,19
askeri_egitim_kitabi.pdf,Hedefi anında etkisiz hale getirmem gereken bir yakın temas durumundayım. Tam olarak vücudun neresine nişan almalıyım?,"Ölümcül bölgeler kafa ve göğüstür. Anında etki için kafaya atış ediyorsanız ağız bölgesine, göğüse atış ediyorsanız karın bölgesine (merkeze) nişan almalısınız.",23
askeri_egitim_kitabi.pdf,Açık arazide yoğun ateş altında kaldım ve çevremde siper yok. Vurulma ihtimalimi en aza indirmek için 'hedef küçültme' manevrasını nasıl yapmalıyım?,"Oturarak, yatarak veya ayaktaysanız silahı tek elle tutup vücudunuzu hedefe yan dönerek silüetinizi daraltmalı ve düşmanın sizi vurabileceği alanı küçültmelisiniz.",25
askeri_egitim_kitabi.pdf,"Operasyon bölgesinde düşman unsurların kullandığı AK-47 (Keleş) tüfeklerinin üretim geçmişi nedir, bu silahların yapısal kökenini bilmek ne işime yarar?",1947 senesinde Rus subayı Mikayıl Kalaşnikov tarafından icat edilmiştir; bu bilgi silahın zorlu doğa koşullarına dayanıklı Sovyet tasarım felsefesiyle üretildiğini ve kolay arıza yapmayacağını gösterir.,26
askeri_egitim_kitabi.pdf,Gece karanlığında ele geçirdiğimiz tüfeğin standart AK-47 mi yoksa modernize edilmiş AKM mi olduğunu anlamam gerekiyor. Ağırlığına ve nişangahına bakarak bunu nasıl ayırt edebilirim?,"Tüfek ağır hissettiriyorsa (4,03 kg) ve nişangah levhası 800 metreyi gösteriyorsa AK-47'dir. Daha hafifse (3,15 kg) ve nişangah 1000 metreyi gösteriyorsa AKM'dir.",26
askeri_egitim_kitabi.pdf,"AKM ile düşmana yoğun baskı ateşi uygulayacağım. Şarjörleri ne kadar sürede tüketirim, ameli (pratik) atış hızım dakikada ortalama kaç mermidir?","Silahın teorik atış hızı dakikada 600 mermi olsa da, şarjör değiştirme ve nişan alma payı düşüldüğünde sahada ameli atış hızınız dakikada 100 mermi olacaktır. Ateş disiplininizi buna göre ayarlayın.",27
askeri_egitim_kitabi.pdf,"Çatışma ortasındayım, Kaleşnikof'un kurma kolunu çekiyorum ama geriye gelmiyor, kilitlendi! Hemen neleri söküp kontrol etmeliyim?",Gaz borusunda veya beden kapağında fiziksel ezilme olup olmadığına bakın. Piston başı eğrilip boruya takılmış olabilir veya taktığınız şarjörde ezilme/sıkışma olabilir.,31
askeri_egitim_kitabi.pdf,"Uzun süreli bir sızma harekatına çıkıyoruz, yanıma alacağım 7.62x39mm AK mermilerinin taşıma yükünü hesaplamam lazım. Tek bir merminin tam ağırlığı ne kadardır?","Bir adet merminin toplam ağırlığı 18,2 gramdır (sadece çekirdek ağırlığı ise 8 gramdır). Yük hesabınızı 18,2 gram üzerinden yapmalısınız.",32
askeri_egitim_kitabi.pdf,AK-74 ile seri atış yaparken namlu şahlanmasını kontrol etmekte zorlanıyorum. Ucundaki özel alev gizleyenin buradaki işlevi tam olarak nedir?,Bu alev gizleyen basıncı sağa ve sola dağıtacak şekilde tasarlanmıştır. Seri atışta namlunun yukarı kalkmasını (şahlanmasını) azaltarak silaha hakimiyetinizi artırır.,33
askeri_egitim_kitabi.pdf,"AKM namlualtı bombaatarı ile atış yapacağım. Hedef 350 metre ileride, menzili kurtarır mı ve atış sırasında silahın geri tepmesine karşı nasıl bir omuz pozisyonu almalıyım?",Son menzili 400 metre olduğu için hedefi vurabilirsiniz. Atış anında sistemin geri tepmesi olmadığı için ekstra bir omuz desteği zorlaması yapmanıza gerek yoktur.,35
askeri_egitim_kitabi.pdf,Depoda G3 saldırı tüfekleri bulduk. Bu silahların üretim menşei nedir ve yedek parça uyumluluğu için hangi kaynakları bilmeliyiz?,Alman Heckler & Koch (HK) firması ile İspanyol CETME ajansının ortak çalışmasıyla geliştirilmiştir. Yedek parçalar bu Alman-İspanyol mühendislik standartlarına aittir.,36
askeri_egitim_kitabi.pdf,"G3 tüfeğiyle seri atışta geri tepme kontrolünü nasıl sağlamalıyım, mekanizma buna nasıl tepki verir?","G3, 'silindir geciktirmeli gaz kaçırma' sistemi ile çalışır. Kitaba göre bu sistem sabittir ve atış anında (teorik olarak) silahın geri tepmesi yoktur, atış hakimiyeti sağlaması beklenir.",36
askeri_egitim_kitabi.pdf,Sahada bir M4 Karabina bulduk ama kendi mühimmatımız bitmek üzere. Bu silaha envanterimizdeki hangi kalibre NATO mermisini basabiliriz?,"M16 tabanlı bir silah olan M4 Karabina, standart 5.56 x 45 mm NATO mermisi kullanır. Bu kalibredeki mühimmatı güvenle yükleyebilirsiniz.",43
askeri_egitim_kitabi.pdf,"Çöl ortamında Biksi (PK) makineli tüfekle atış yapıyorum, hava çok sıcak ve namlu soğumuyor. Silahın tutukluk yapmaması ve atış hızını dengelemek için gaz ayarını kaça getirmeliyim?","Hava çok sıcaksa, namlu hızla ısınıp soğumuyorsa ve atış yoğunluğunu azaltarak tutukluğu önlemek istiyorsanız gaz regülatörünü 1 numaralı konuma almalısınız.",67
askeri_egitim_kitabi.pdf,Dar bir sokakta RPG-7 ile zırhlı araca atış yapmaya hazırlanıyorum. Roketin 'backblast' (geri tepme alevi) etkisinden takım arkadaşlarımın zarar görmemesi için arkamda ne kadarlık bir emniyet mesafesi bırakmalıyım?,"Silahın en az 20 metre gerisinde hiçbir personel veya mühimmat bulunmamalı; en az 5 metre gerisinde de alevi yansıtacak duvar, ağaç vb. hiçbir engel olmamasına dikkat etmelisiniz.",77
